# Whisper ASR 错词纠正
# 格式：错误识别结果 => 正确文本
# 建议优先添加已经在实际会议中出现过的高置信度错误。

# 产学研与成果转化
产学沿用 => 产学研用
产学言用 => 产学研用
中式转化 => 中试转化
中式研发 => 中试研发
中式实验 => 中试实验
科长成果 => 科研成果
科技成国 => 科技成果

# 企业服务与产业赋能
全链条负能 => 全链条赋能
全链条负贷 => 全链条赋能
全链条富能 => 全链条赋能
负能企业 => 赋能企业
富能企业 => 赋能企业
企业真实痛店 => 企业真实痛点
补足企业的短版 => 补足企业的短板
落地应运 => 落地应用
技术地盘 => 技术底盘

# 知识产权与政府政策
致日产权 => 知识产权
制日产权 => 知识产权
资产权权 => 知识产权
知识产全 => 知识产权
知识产权支持中兴 => 知识产权支持中心
香港社区政府 => 香港特区政府
香港特去政府 => 香港特区政府
香港特别政府 => 香港特区政府
新型工业化自助计划 => 新型工业化资助计划
新型工业化支柱计划 => 新型工业化资助计划
新型工业加速技术 => 新型工业加速计划

# 区域与机构名称
厂三角 => 长三角
长山角 => 长三角
长三脚 => 长三角
国创中兴 => 国创中心
长三角国创新中心 => 长三角国创中心
二角国创中心地 => 长三角国创中心
二角国创中心 => 长三角国创中心
创新中心台 => 创新中心平台
苏海服务中心 => 出海服务中心
粗海服务中心 => 出海服务中心
粗海六招 => 出海六招
苏海六招 => 出海六招

# 国际合作与创新生态
国际前因技术 => 国际前沿技术
国际前言技术 => 国际前沿技术
跨进协同 => 跨境协同
合做生态 => 合作生态
港资气业 => 港资企业
深更长三角 => 深耕长三角
科技创新和产业创新深度如何 => 科技创新和产业创新深度融合

# 化工、低碳与制造
浮发器 => 孵化器
浮化器 => 孵化器
伏化器 => 孵化器
机智创新 => 机制创新
机智创新的平台 => 机制创新的平台
机智创新的平常 => 机制创新的平台
早碳排放 => 降低碳排放
模块化新型反映器 => 模块化新型反应器
模块化反映器 => 模块化反应器
柔性化生厂 => 柔性化生产
流程在造 => 流程再造
低碳功能性平合 => 低碳功能性平台

# AI与材料
ANA加材料 => AI加材料
AI家材料 => AI加材料
材料研发的速读 => 材料研发的速度
材料获取的概念 => 材料获取的概率
应用长景 => 应用场景

# 高校科研与政府协同
搞小科研院所 => 高校科研院所
搞小看医院所 => 高校科研院所
高校科研医院 => 高校科研院所
高校和医院所 => 高校和科研院所
科技局认知过两年 => 科技局任职过两年
政府牵引房 => 政府牵引方

# 协同合作与机制
更多的欧和 => 更多的耦合
更多欧和 => 更多耦合
更多的偶和 => 更多的耦合
整理成一个摸式 => 整理成一个模式
延感到长三角以外 => 延展到长三角以外
这个搏乱 => 这个伯乐

# 表达与语法错误
客户的接受住我们的品牌影响力 => 客户的接受度和我们的品牌影响力
在企业经营在十多年 => 在企业经营了十多年
成立于19670法定机构 => 成立于1967年的法定机构
车祸网 => 过往

# 平台、资源与协同
付现于需求 => 现有需求
在这汇交 => 在这里汇聚
因为看见所以想 => 因为看见所以相信
一会一个国际型的平台 => 依靠一个国际型的平台

# 国际技术与区域合作
国际的铁银的技术 => 国际前沿技术
国际铁银技术 => 国际前沿技术
科技的创新和产业的创新是牛肉 => 科技创新和产业创新深度融合
港资企业深耕产甲 => 港资企业深耕长三角
特别是长三角国内体系列 => 特别是长三角的内地企业

# 企业服务
去组组企业的办法里 => 去补足企业的短板
一阵式的使用 => 一站式的服务
知产权支持中心 => 知识产权支持中心
知识产品的服务 => 知识产权服务

# 企业出海
海六招 => 出海六招
陆地的应用 => 落地应用
只能制造的服务 => 智能制造服务
简直我们有很多 => 此外我们有很多

# 机构名称
我们身材就封锁 => 我们生产力促进局
身材就封锁 => 生产力促进局
生产一层允许 => 生产力促进局
找到我们生产一层允许 => 找到我们生产力促进局
把舞当成一个 => 把我们当成一个

# 伯乐与机制创新
国创中心就是一个伯了 => 国创中心就是一个伯乐
这个搏乱 => 这个伯乐
这个博乱 => 这个伯乐
千里马的挖决 => 千里马的挖掘
